Metabolic Function	Gene Name
Amino acid Metabolism	SRM
Amino acid Metabolism	SMS
Amino acid Metabolism	AGXT
Amino acid Metabolism	SQRDL
Amino acid Metabolism	SUOX
Amino acid Metabolism	DARS
Amino acid Metabolism	EPRS
Amino acid Metabolism	IARS
Amino acid Metabolism	KARS
Amino acid Metabolism	MARS
Amino acid Metabolism	QARS
Amino acid Metabolism	RARS
Amino acid Metabolism	SARS
Amino acid Metabolism	TDO2
Amino acid Metabolism	SERINC3
Amino acid Metabolism	SERINC1
Amino acid Metabolism	ACAT1
Amino acid Metabolism	TST
Amino acid Metabolism	TMLHE
Amino acid Metabolism	TXNRD1
Amino acid Metabolism	TSHB
Amino acid Metabolism	TYRP1
Amino acid Metabolism	DCT
Amino acid Metabolism	TYR
Amino acid Metabolism	PSMD14
Amino acid Metabolism	NAGS
Amino acid Metabolism	HIBCH
Amino acid Metabolism	AASS
Amino acid Metabolism	AADAT
Amino acid Metabolism	KMO
Amino acid Metabolism	ACMSD
Amino acid Metabolism	RPS10
Amino acid Metabolism	RPS11
Amino acid Metabolism	RPS12
Amino acid Metabolism	RPS13
Amino acid Metabolism	RPS14
Amino acid Metabolism	RPS15
Amino acid Metabolism	RPS16
Amino acid Metabolism	RPS17
Amino acid Metabolism	RPS18
Amino acid Metabolism	RPS19
Amino acid Metabolism	RPS15A
Amino acid Metabolism	RPS2
Amino acid Metabolism	RPS20
Amino acid Metabolism	RPS21
Amino acid Metabolism	RPS23
Amino acid Metabolism	RPS24
Amino acid Metabolism	RPS25
Amino acid Metabolism	RPS26
Amino acid Metabolism	RPS27
Amino acid Metabolism	RPS27A
Amino acid Metabolism	RPS28
Amino acid Metabolism	RPS29
Amino acid Metabolism	RPS3
Amino acid Metabolism	FAU
Amino acid Metabolism	RPS3A
Amino acid Metabolism	RPS4X
Amino acid Metabolism	RPS4Y1
Amino acid Metabolism	RPS5
Amino acid Metabolism	RPS6
Amino acid Metabolism	RPS7
Amino acid Metabolism	RPS8
Amino acid Metabolism	RPS9
Amino acid Metabolism	RPSA
Amino acid Metabolism	RPLP0
Amino acid Metabolism	RPLP1
Amino acid Metabolism	RPLP2
Amino acid Metabolism	RPL10
Amino acid Metabolism	RPL10A
Amino acid Metabolism	RPL11
Amino acid Metabolism	RPL12
Amino acid Metabolism	RPL13
Amino acid Metabolism	RPL13A
Amino acid Metabolism	RPL14
Amino acid Metabolism	RPL15
Amino acid Metabolism	RPL17
Amino acid Metabolism	RPL18
Amino acid Metabolism	RPL18A
Amino acid Metabolism	RPL19
Amino acid Metabolism	RPL21
Amino acid Metabolism	RPL22
Amino acid Metabolism	RPL23
Amino acid Metabolism	RPL23A
Amino acid Metabolism	RPL24
Amino acid Metabolism	RPL26
Amino acid Metabolism	RPL26L1
Amino acid Metabolism	RPL27
Amino acid Metabolism	RPL27A
Amino acid Metabolism	RPL28
Amino acid Metabolism	RPL29
Amino acid Metabolism	RPL3
Amino acid Metabolism	RPL3L
Amino acid Metabolism	RPL30
Amino acid Metabolism	RPL31
Amino acid Metabolism	RPL32
Amino acid Metabolism	RPL34
Amino acid Metabolism	RPL35
Amino acid Metabolism	RPL35A
Amino acid Metabolism	RPL36
Amino acid Metabolism	RPL37
Amino acid Metabolism	RPL37A
Amino acid Metabolism	RPL38
Amino acid Metabolism	RPL39
Amino acid Metabolism	RPL4
Amino acid Metabolism	UBA52
Amino acid Metabolism	RPL41
Amino acid Metabolism	RPL36A
Amino acid Metabolism	RPL5
Amino acid Metabolism	RPL6
Amino acid Metabolism	RPL7
Amino acid Metabolism	RPL7A
Amino acid Metabolism	RPL8
Amino acid Metabolism	RPL9
Amino acid Metabolism	AUH
Amino acid Metabolism	PSMC1
Amino acid Metabolism	PSMC4
Amino acid Metabolism	PSMC2
Amino acid Metabolism	PSMC3
Amino acid Metabolism	PSMC6
Amino acid Metabolism	PSMA1
Amino acid Metabolism	PSMA2
Amino acid Metabolism	PSMA3
Amino acid Metabolism	PSMA4
Amino acid Metabolism	PSMA5
Amino acid Metabolism	PSMA6
Amino acid Metabolism	PSMA7
Amino acid Metabolism	PSMB1
Amino acid Metabolism	PSMB2
Amino acid Metabolism	PSMB3
Amino acid Metabolism	PSMB4
Amino acid Metabolism	PSMB5
Amino acid Metabolism	PSMB6
Amino acid Metabolism	PSMB7
Amino acid Metabolism	PSMB8
Amino acid Metabolism	PSMB9
Amino acid Metabolism	PSMB10
Amino acid Metabolism	PSMD1
Amino acid Metabolism	PSMD2
Amino acid Metabolism	PSMD3
Amino acid Metabolism	PSMD4
Amino acid Metabolism	PSMD5
Amino acid Metabolism	PSMD6
Amino acid Metabolism	PSMD7
Amino acid Metabolism	PSMD8
Amino acid Metabolism	PSMD9
Amino acid Metabolism	PSMD10
Amino acid Metabolism	PSMD11
Amino acid Metabolism	PSMD12
Amino acid Metabolism	PSMD13
Amino acid Metabolism	PSME1
Amino acid Metabolism	PSME2
Amino acid Metabolism	PSME3
Amino acid Metabolism	PSMF1
Amino acid Metabolism	RPL39L
Amino acid Metabolism	SERINC2
Amino acid Metabolism	TPH2
Amino acid Metabolism	PAOX
Amino acid Metabolism	ADO
Amino acid Metabolism	GRHPR
Amino acid Metabolism	CCBL1
Amino acid Metabolism	ALDH18A1
Amino acid Metabolism	RPS27L
Amino acid Metabolism	SMOX
Amino acid Metabolism	LARS
Amino acid Metabolism	AFMID
Amino acid Metabolism	AMDHD1
Amino acid Metabolism	APIP
Amino acid Metabolism	ASRGL1
Amino acid Metabolism	BHMT2
Amino acid Metabolism	C9orf41
Amino acid Metabolism	DHTKD1
Amino acid Metabolism	DUOX1
Amino acid Metabolism	DUOX2
Amino acid Metabolism	MRI1
Amino acid Metabolism	ENOPH1
Amino acid Metabolism	ETHE1
Amino acid Metabolism	GADL1
Amino acid Metabolism	GSR
Amino acid Metabolism	IDO2
Amino acid Metabolism	CCBL2
Amino acid Metabolism	ASPG
Amino acid Metabolism	ADI1
Amino acid Metabolism	NMRAL1
Amino acid Metabolism	PYCR2
Amino acid Metabolism	PYCRL
Amino acid Metabolism	PPM1K
Amino acid Metabolism	PSMB11
Amino acid Metabolism	PSME4
Amino acid Metabolism	PSTK
Amino acid Metabolism	RPL10L
Amino acid Metabolism	RPL22L1
Amino acid Metabolism	RPL36AL
Amino acid Metabolism	SCLY
Amino acid Metabolism	SEPSECS
Amino acid Metabolism	CARNS1
Amino acid Metabolism	LIPT2
Amino acid Metabolism	SERINC4
Amino acid Metabolism	SERINC5
Amino acid Metabolism	PAPSS2
Amino acid Metabolism	TH
Amino acid Metabolism	TPO
Amino acid Metabolism	TPH1
Amino acid Metabolism	ASMT
Amino acid Metabolism	DIO1
Amino acid Metabolism	IYD
Amino acid Metabolism	GPT2
Amino acid Metabolism	DIO2
Amino acid Metabolism	ADC
Carbohydrate Metabolism	PPP2R1A
Carbohydrate Metabolism	PPP2R1B
Carbohydrate Metabolism	PGD
Carbohydrate Metabolism	PGLS
Carbohydrate Metabolism	AAAS
Carbohydrate Metabolism	GOT1
Carbohydrate Metabolism	GOT2
Carbohydrate Metabolism	AKR1A1
Carbohydrate Metabolism	AKR1B1
Carbohydrate Metabolism	ALDOA
Carbohydrate Metabolism	ALDOB
Carbohydrate Metabolism	ALDOC
Carbohydrate Metabolism	AMY2B
Carbohydrate Metabolism	AMY2A
Carbohydrate Metabolism	AMY1A
Carbohydrate Metabolism	NAGLU
Carbohydrate Metabolism	ARSB
Carbohydrate Metabolism	B3GAT1
Carbohydrate Metabolism	B3GAT2
Carbohydrate Metabolism	B3GAT3
Carbohydrate Metabolism	B3GNT1
Carbohydrate Metabolism	B3GNT2
Carbohydrate Metabolism	B3GNT3
Carbohydrate Metabolism	B4GALT1
Carbohydrate Metabolism	B4GALT2
Carbohydrate Metabolism	B4GALT3
Carbohydrate Metabolism	B4GALT4
Carbohydrate Metabolism	B4GALT5
Carbohydrate Metabolism	B4GALT6
Carbohydrate Metabolism	B4GALT7
Carbohydrate Metabolism	GLB1
Carbohydrate Metabolism	GUSB
Carbohydrate Metabolism	CALM1
Carbohydrate Metabolism	CD44
