Metabolic Function	Gene Name
Lipid Metabolism	ACLY
Lipid Metabolism	SCD
Lipid Metabolism	NDUFAB1
Lipid Metabolism	AGPS
Lipid Metabolism	PLIN2
Lipid Metabolism	FDXR
Lipid Metabolism	FDX1
Lipid Metabolism	GLA
Lipid Metabolism	AHR
Lipid Metabolism	AKR1C1
Lipid Metabolism	AKR1C2
Lipid Metabolism	AKR1C3
Lipid Metabolism	AKR1C4
Lipid Metabolism	AKR1D1
Lipid Metabolism	ALB
Lipid Metabolism	AKR1B1
Lipid Metabolism	ABCD1
Lipid Metabolism	AMACR
Lipid Metabolism	AGT
Lipid Metabolism	ANGPTL3
Lipid Metabolism	ANGPTL4
Lipid Metabolism	APOA1
Lipid Metabolism	APOA2
Lipid Metabolism	APOA4
Lipid Metabolism	APOB
Lipid Metabolism	APOC1
Lipid Metabolism	APOC2
Lipid Metabolism	APOC3
Lipid Metabolism	APOC4
Lipid Metabolism	APOE
Lipid Metabolism	APOF
Lipid Metabolism	ACER3
Lipid Metabolism	LPA
Lipid Metabolism	ARF1
Lipid Metabolism	ARF3
Lipid Metabolism	ARNT2
Lipid Metabolism	ARNT
Lipid Metabolism	ARSA
Lipid Metabolism	ARSB
Lipid Metabolism	ARSD
Lipid Metabolism	ARSE
Lipid Metabolism	ARSF
Lipid Metabolism	ASAH1
Lipid Metabolism	SMPD1
Lipid Metabolism	ACOT7
Lipid Metabolism	CEL
Lipid Metabolism	BDH1
Lipid Metabolism	GLB1
Lipid Metabolism	BHMT
Lipid Metabolism	BMX
Lipid Metabolism	CYP11A1
Lipid Metabolism	CYP39A1
Lipid Metabolism	ACOT12
Lipid Metabolism	CRAT
Lipid Metabolism	B4GALNT1
Lipid Metabolism	ACOX1
Lipid Metabolism	ACOX2
Lipid Metabolism	ACOX3
Lipid Metabolism	CAV1
Lipid Metabolism	NFYB
Lipid Metabolism	CREBBP
Lipid Metabolism	CD36
Lipid Metabolism	CDS1
Lipid Metabolism	CDS2
Lipid Metabolism	UGCG
Lipid Metabolism	CETP
Lipid Metabolism	ACOT9
Lipid Metabolism	CCNC
Lipid Metabolism	UGT8
Lipid Metabolism	BCHE
Lipid Metabolism	CIDEA
Lipid Metabolism	CLOCK
Lipid Metabolism	CPNE1
Lipid Metabolism	CPNE3
Lipid Metabolism	CPNE6
Lipid Metabolism	CPNE7
Lipid Metabolism	ACACB
Lipid Metabolism	POMC
Lipid Metabolism	CLPS
Lipid Metabolism	COQ3
Lipid Metabolism	COQ6
Lipid Metabolism	COQ7
Lipid Metabolism	CYP1A1
Lipid Metabolism	CYP1A2
Lipid Metabolism	CYP1B1
Lipid Metabolism	CYP27A1
Lipid Metabolism	CYP46A1
Lipid Metabolism	CYP4B1
Lipid Metabolism	CYP4A11
Lipid Metabolism	CYP51A1
Lipid Metabolism	CYP7A1
Lipid Metabolism	CYP7B1
Lipid Metabolism	CYP8B1
Lipid Metabolism	CYP2C8
Lipid Metabolism	CYP2C9
Lipid Metabolism	CYP2C19
Lipid Metabolism	CYP4F2
Lipid Metabolism	CYP4F3
Lipid Metabolism	CYP4F11
Lipid Metabolism	CYP2J2
Lipid Metabolism	CYP11B1
Lipid Metabolism	CYP11B2
Lipid Metabolism	CYP21A2
Lipid Metabolism	CPT1A
Lipid Metabolism	CPT2
Lipid Metabolism	CYP17A1
Lipid Metabolism	CPT1B
Lipid Metabolism	CYP19A1
Lipid Metabolism	MED17
Lipid Metabolism	MED7
Lipid Metabolism	SPTLC3
Lipid Metabolism	FITM2
Lipid Metabolism	CTGF
Lipid Metabolism	PCYT1A
Lipid Metabolism	PCYT1B
Lipid Metabolism	MID1IP1
Lipid Metabolism	ALDH7A1
Lipid Metabolism	DAB1
Lipid Metabolism	GNPAT
Lipid Metabolism	MLYCD
Lipid Metabolism	DECR1
Lipid Metabolism	DGAT1
Lipid Metabolism	ALDH3B1
Lipid Metabolism	ALDH3B2
Lipid Metabolism	HSD17B1
Lipid Metabolism	HSD17B2
Lipid Metabolism	HSD17B3
Lipid Metabolism	HSD17B4
Lipid Metabolism	HSD17B8
Lipid Metabolism	DHCR7
Lipid Metabolism	CBR1
Lipid Metabolism	DHCR24
Lipid Metabolism	HSD11B1
Lipid Metabolism	HSD11B2
Lipid Metabolism	EBP
Lipid Metabolism	HADHA
Lipid Metabolism	HADHB
Lipid Metabolism	ECHS1
Lipid Metabolism	EHHADH
Lipid Metabolism	ETNK1
Lipid Metabolism	ETNK2
Lipid Metabolism	ELOVL1
Lipid Metabolism	ELOVL2
Lipid Metabolism	ELOVL3
Lipid Metabolism	ELOVL4
Lipid Metabolism	MVD
Lipid Metabolism	TM7SF2
Lipid Metabolism	SQLE
Lipid Metabolism	LSS
Lipid Metabolism	ESRRA
Lipid Metabolism	FAAH
Lipid Metabolism	FABP4
Lipid Metabolism	FABP7
Lipid Metabolism	FABP5
Lipid Metabolism	FABP3
Lipid Metabolism	FABP2
Lipid Metabolism	FABP1
Lipid Metabolism	FASN
Lipid Metabolism	FDFT1
Lipid Metabolism	FGF21
Lipid Metabolism	ALOX5AP
Lipid Metabolism	FDPS
Lipid Metabolism	CIDEC
Lipid Metabolism	FURIN
Lipid Metabolism	KDSR
Lipid Metabolism	FYN
Lipid Metabolism	PIKFYVE
Lipid Metabolism	G0S2
Lipid Metabolism	GALC
Lipid Metabolism	GGPS1
Lipid Metabolism	GGT1
Lipid Metabolism	GGT5
Lipid Metabolism	GK2
Lipid Metabolism	GBA
Lipid Metabolism	CGA
Lipid Metabolism	GLIPR1
Lipid Metabolism	GK
Lipid Metabolism	GLTP
Lipid Metabolism	GPD1
Lipid Metabolism	GPD2
Lipid Metabolism	PNPLA4
Lipid Metabolism	GPX1
Lipid Metabolism	GPX2
Lipid Metabolism	GPX4
Lipid Metabolism	TECR
Lipid Metabolism	HAO2
Lipid Metabolism	HADH
Lipid Metabolism	ALAS1
Lipid Metabolism	HEXA
Lipid Metabolism	HEXB
Lipid Metabolism	HMGCS2
Lipid Metabolism	HMGCS1
Lipid Metabolism	HACL1
Lipid Metabolism	HRASLS5
Lipid Metabolism	HRASLS
Lipid Metabolism	HRASLS2
Lipid Metabolism	PLA2G16
Lipid Metabolism	EPHX2
Lipid Metabolism	IDH1
Lipid Metabolism	IDI1
Lipid Metabolism	IDI2
Lipid Metabolism	FABP6
Lipid Metabolism	KPNB1
Lipid Metabolism	INSIG1
Lipid Metabolism	PRKACA
Lipid Metabolism	PRKACB
Lipid Metabolism	PRKACG
Lipid Metabolism	CSNK1G2
Lipid Metabolism	CSNK2A2
Lipid Metabolism	CSNK2B
Lipid Metabolism	GPCPD1
Lipid Metabolism	CHKB
Lipid Metabolism	CHKA
Lipid Metabolism	MVK
Lipid Metabolism	PRKD1
Lipid Metabolism	PRKD3
Lipid Metabolism	PRKD2
Lipid Metabolism	PTGR1
Lipid Metabolism	LTC4S
Lipid Metabolism	LCAT
Lipid Metabolism	SPTLC1
Lipid Metabolism	SPTLC2
Lipid Metabolism	ACSL1
Lipid Metabolism	ACSL3
Lipid Metabolism	ACSL4
Lipid Metabolism	ACSL5
Lipid Metabolism	ACSL6
Lipid Metabolism	LDLR
Lipid Metabolism	VLDLR
Lipid Metabolism	LIPA
Lipid Metabolism	PNLIPRP1
Lipid Metabolism	LIPG
Lipid Metabolism	LIPF
Lipid Metabolism	LIPC
Lipid Metabolism	LPL
Lipid Metabolism	PNLIP
Lipid Metabolism	LIPE
Lipid Metabolism	LTA4H
Lipid Metabolism	ALOX15
Lipid Metabolism	ALOX5
Lipid Metabolism	ALOX12
Lipid Metabolism	ALOX12B
Lipid Metabolism	LPIN1
Lipid Metabolism	LPIN2
Lipid Metabolism	LPIN3
Lipid Metabolism	LHB
Lipid Metabolism	ALOX15B
Lipid Metabolism	DMGDH
Lipid Metabolism	ME1
Lipid Metabolism	SLC25A20
Lipid Metabolism	DPEP1
Lipid Metabolism	ABCB4
Lipid Metabolism	MED6
Lipid Metabolism	STARD3NL
Lipid Metabolism	MAPKAPK2
Lipid Metabolism	STARD3
Lipid Metabolism	ABCC1
Lipid Metabolism	ABCC3
Lipid Metabolism	MBTPS1
Lipid Metabolism	MBTPS2
Lipid Metabolism	MTM1
Lipid Metabolism	MTTP
Lipid Metabolism	MTMR1
Lipid Metabolism	MTMR2
Lipid Metabolism	MTMR3
Lipid Metabolism	MTMR6
Lipid Metabolism	MTMR7
Lipid Metabolism	MUT
Lipid Metabolism	NCOA2
Lipid Metabolism	NEU1
Lipid Metabolism	NEU2
Lipid Metabolism	NEU3
Lipid Metabolism	TRIB3
Lipid Metabolism	SCP2
Lipid Metabolism	NPAS2
Lipid Metabolism	NPC1
Lipid Metabolism	NPC2
Lipid Metabolism	NR1D1
Lipid Metabolism	NRF1
Lipid Metabolism	NR1H2
Lipid Metabolism	NSDHL
Lipid Metabolism	SMPD2
Lipid Metabolism	SLC10A2
Lipid Metabolism	SLC10A1
Lipid Metabolism	CROT
Lipid Metabolism	OSBPL1A
Lipid Metabolism	OSBPL2
Lipid Metabolism	OSBPL3
Lipid Metabolism	OSBPL5
Lipid Metabolism	OSBPL6
Lipid Metabolism	OSBPL7
Lipid Metabolism	OSBPL8
Lipid Metabolism	OSBPL9
Lipid Metabolism	OSBPL10
Lipid Metabolism	OSBP
Lipid Metabolism	PIK3CA
Lipid Metabolism	PIK3CB
Lipid Metabolism	PIK3CD
Lipid Metabolism	PIK3CG
Lipid Metabolism	EP300
Lipid Metabolism	PIK3R3
Lipid Metabolism	PIK3R1
Lipid Metabolism	PIK3R2
Lipid Metabolism	PLA2G1B
Lipid Metabolism	PLA2G3
Lipid Metabolism	PLA2G4A
Lipid Metabolism	PLA2G5
Lipid Metabolism	PLA2G6
Lipid Metabolism	PLA2G2A
Lipid Metabolism	PLA2G2D
Lipid Metabolism	PLA2G2E
Lipid Metabolism	PLA2G2F
Lipid Metabolism	PLA2G10
Lipid Metabolism	PLA2G12A
Lipid Metabolism	PHYH
Lipid Metabolism	PCCA
Lipid Metabolism	PCCB
Lipid Metabolism	PCSK5
Lipid Metabolism	STARD10
Lipid Metabolism	PCYT2
Lipid Metabolism	P4HB
Lipid Metabolism	PEMT
Lipid Metabolism	HPGDS
Lipid Metabolism	HPGD
Lipid Metabolism	PTGS1
Lipid Metabolism	PTGS2
Lipid Metabolism	PTGDS
Lipid Metabolism	PI4KA
Lipid Metabolism	PIP4K2A
Lipid Metabolism	CDIPT
Lipid Metabolism	PIK3C2B
Lipid Metabolism	PIK3C2G
Lipid Metabolism	AGPAT1
Lipid Metabolism	AGPAT2
Lipid Metabolism	AGPAT3
Lipid Metabolism	AGPAT4
Lipid Metabolism	AGPAT5
Lipid Metabolism	PLD2
Lipid Metabolism	PLIN1
Lipid Metabolism	GPAM
Lipid Metabolism	PLTP
Lipid Metabolism	SLC25A17
Lipid Metabolism	PMVK
Lipid Metabolism	ACOT13
Lipid Metabolism	PON1
Lipid Metabolism	PON2
Lipid Metabolism	PON3
Lipid Metabolism	PPP1CA
Lipid Metabolism	PPP1CB
Lipid Metabolism	PPP1CC
Lipid Metabolism	PPARA
Lipid Metabolism	PPARD
Lipid Metabolism	ALPI
Lipid Metabolism	PCTP
Lipid Metabolism	PITPNB
Lipid Metabolism	PPT1
Lipid Metabolism	PPT2
Lipid Metabolism	CTSA
Lipid Metabolism	PTDSS1
Lipid Metabolism	ACOT8
Lipid Metabolism	ACOT2
Lipid Metabolism	PTEN
Lipid Metabolism	PTGES
Lipid Metabolism	PTGIS
Lipid Metabolism	PTPN13
Lipid Metabolism	RAB14
Lipid Metabolism	RAB5A
Lipid Metabolism	RELN
Lipid Metabolism	RGL1
Lipid Metabolism	RORA
Lipid Metabolism	RXRA
Lipid Metabolism	SLCO1A2
Lipid Metabolism	SLCO1B1
Lipid Metabolism	SLCO1B3
Lipid Metabolism	SEC23A
Lipid Metabolism	SEC24A
Lipid Metabolism	SEC24B
Lipid Metabolism	SEC24C
Lipid Metabolism	SEC24D
Lipid Metabolism	SRD5A1
Lipid Metabolism	GM2A
Lipid Metabolism	PSAP
Lipid Metabolism	SAR1B
Lipid Metabolism	SCAP
Lipid Metabolism	OXCT1
Lipid Metabolism	FHL2
Lipid Metabolism	SOAT1
Lipid Metabolism	SOAT2
Lipid Metabolism	SP1
Lipid Metabolism	SPHK1
Lipid Metabolism	SPHK2
Lipid Metabolism	MED21
Lipid Metabolism	SREBF2
Lipid Metabolism	STAR
Lipid Metabolism	STARD4
Lipid Metabolism	STARD5
Lipid Metabolism	STARD6
Lipid Metabolism	STARD7
Lipid Metabolism	STS
Lipid Metabolism	SULT2A1
Lipid Metabolism	MED22
Lipid Metabolism	SYNJ1
Lipid Metabolism	SYNJ2
Lipid Metabolism	MED24
Lipid Metabolism	THRAP3
Lipid Metabolism	MED12
Lipid Metabolism	MED13
Lipid Metabolism	TBL1XR1
Lipid Metabolism	TBL1X
Lipid Metabolism	TEAD1
Lipid Metabolism	TEAD2
Lipid Metabolism	TEAD3
Lipid Metabolism	TEAD4
Lipid Metabolism	PTGES3
Lipid Metabolism	TAZ
Lipid Metabolism	TBXAS1
Lipid Metabolism	ACOT11
Lipid Metabolism	THRSP
Lipid Metabolism	ACAA1
Lipid Metabolism	ACAT1
Lipid Metabolism	ACAA2
Lipid Metabolism	PLIN3
Lipid Metabolism	RARRES3
Lipid Metabolism	TPTE
Lipid Metabolism	TNFRSF21
Lipid Metabolism	TXNRD1
Lipid Metabolism	SLC25A1
Lipid Metabolism	VAPA
Lipid Metabolism	VAPB
Lipid Metabolism	HDLBP
Lipid Metabolism	SLC27A2
Lipid Metabolism	LPGAT1
Lipid Metabolism	FIG4
Lipid Metabolism	YAP1
Lipid Metabolism	ZDHHC8
Lipid Metabolism	CDK8
Lipid Metabolism	RAN
Lipid Metabolism	RAB4A
Lipid Metabolism	PLD1
Lipid Metabolism	LBR
Lipid Metabolism	MCEE
Lipid Metabolism	HMGCL
Lipid Metabolism	PNPLA3
Lipid Metabolism	AMN
Lipid Metabolism	CERK
Lipid Metabolism	TMEM55B
Lipid Metabolism	CRLS1
Lipid Metabolism	DDHD1
Lipid Metabolism	MMAA
Lipid Metabolism	PI4KB
Lipid Metabolism	INPP5J
Lipid Metabolism	PCSK9
Lipid Metabolism	EPT1
Lipid Metabolism	SGPL1
Lipid Metabolism	SH3KBP1
Lipid Metabolism	INPP5K
Lipid Metabolism	SIN3A
Lipid Metabolism	SIN3B
Lipid Metabolism	MED31
Lipid Metabolism	SGPP1
Lipid Metabolism	SGPP2
Lipid Metabolism	SCARB1
Lipid Metabolism	SUMF1
Lipid Metabolism	SUMF2
Lipid Metabolism	MED20
Lipid Metabolism	HSD3B7
Lipid Metabolism	B3GALNT1
Lipid Metabolism	ARNTL
Lipid Metabolism	BMP1
Lipid Metabolism	COL4A3BP
Lipid Metabolism	CHDH
Lipid Metabolism	ACOT1
Lipid Metabolism	ALDH3A2
Lipid Metabolism	MCAT
Lipid Metabolism	HMGCR
Lipid Metabolism	INPP5E
Lipid Metabolism	MGLL
Lipid Metabolism	MYLIP
Lipid Metabolism	PLA2G4C
Lipid Metabolism	PIP4K2B
Lipid Metabolism	PLEKHA1
Lipid Metabolism	PLEKHA2
Lipid Metabolism	PLEKHA3
Lipid Metabolism	PLEKHA4
Lipid Metabolism	PLEKHA5
Lipid Metabolism	PLEKHA6
Lipid Metabolism	PPARGC1A
Lipid Metabolism	PTDSS2
Lipid Metabolism	ACOT4
Lipid Metabolism	RUFY1
Lipid Metabolism	SARDH
Lipid Metabolism	OLAH
Lipid Metabolism	SGMS1
Lipid Metabolism	SGMS2
Lipid Metabolism	SREBF1
Lipid Metabolism	ACAT2
Lipid Metabolism	BAAT
Lipid Metabolism	THEM4
Lipid Metabolism	LDLRAP1
Lipid Metabolism	APOA5
Lipid Metabolism	PIK3C3
Lipid Metabolism	PIK3R4
Lipid Metabolism	CH25H
Lipid Metabolism	SLC27A5
Lipid Metabolism	TGS1
Lipid Metabolism	CSNK2A1
Lipid Metabolism	CYP4F22
Lipid Metabolism	MED25
Lipid Metabolism	MED14
Lipid Metabolism	MED30
Lipid Metabolism	MED4
Lipid Metabolism	AACS
Lipid Metabolism	ABHD3
Lipid Metabolism	ABHD4
Lipid Metabolism	ABHD5
Lipid Metabolism	ACBD4
Lipid Metabolism	ACBD5
Lipid Metabolism	ACBD6
Lipid Metabolism	ACBD7
Lipid Metabolism	ACSBG1
Lipid Metabolism	ACSBG2
Lipid Metabolism	ACAD10
Lipid Metabolism	ACAD11
Lipid Metabolism	ACOT6
Lipid Metabolism	ACOXL
Lipid Metabolism	ACSF2
Lipid Metabolism	ACSF3
Lipid Metabolism	ACSM3
Lipid Metabolism	ACSS3
Lipid Metabolism	NCEH1
Lipid Metabolism	AGK
Lipid Metabolism	ANKRD1
Lipid Metabolism	ARSG
Lipid Metabolism	ARSH
Lipid Metabolism	ARSI
Lipid Metabolism	ARSJ
Lipid Metabolism	ARSK
Lipid Metabolism	ARV1
Lipid Metabolism	ACER2
Lipid Metabolism	ASAH2
Lipid Metabolism	ACER1
Lipid Metabolism	AWAT1
Lipid Metabolism	AWAT2
Lipid Metabolism	BDH2
Lipid Metabolism	CARM1
Lipid Metabolism	CBR4
Lipid Metabolism	CDK19
Lipid Metabolism	CEPT1
Lipid Metabolism	CHD9
Lipid Metabolism	CHPT1
Lipid Metabolism	COQ2
Lipid Metabolism	COQ5
Lipid Metabolism	COQ9
Lipid Metabolism	CREB3L3
Lipid Metabolism	SLC44A1
Lipid Metabolism	SLC44A2
Lipid Metabolism	SLC44A3
Lipid Metabolism	SLC44A4
Lipid Metabolism	SLC44A5
Lipid Metabolism	CUBN
Lipid Metabolism	DDHD2
Lipid Metabolism	DECR2
Lipid Metabolism	DEGS1
Lipid Metabolism	DEGS2
Lipid Metabolism	DGAT2L6
Lipid Metabolism	DGAT2
Lipid Metabolism	HSD17B11
Lipid Metabolism	HSD17B12
Lipid Metabolism	HSD17B13
Lipid Metabolism	HSD17B14
Lipid Metabolism	PDSS2
Lipid Metabolism	DPEP2
Lipid Metabolism	DPEP3
Lipid Metabolism	PDSS1
Lipid Metabolism	ELOVL5
Lipid Metabolism	ELOVL6
Lipid Metabolism	ELOVL7
Lipid Metabolism	ENPP6
Lipid Metabolism	ENPP7
Lipid Metabolism	CES3
Lipid Metabolism	ESYT1
Lipid Metabolism	ESYT2
Lipid Metabolism	ESYT3
Lipid Metabolism	FAAH2
Lipid Metabolism	FABP9
Lipid Metabolism	FAR1
Lipid Metabolism	FAR2
Lipid Metabolism	FADS1
Lipid Metabolism	FADS2
Lipid Metabolism	GBA2
Lipid Metabolism	GDE1
Lipid Metabolism	GDPD1
Lipid Metabolism	GDPD3
Lipid Metabolism	GDPD5
Lipid Metabolism	GLB1L
Lipid Metabolism	GLTPD1
Lipid Metabolism	GPD1L
Lipid Metabolism	GRHL1
Lipid Metabolism	GPIHBP1
Lipid Metabolism	INPP4A
Lipid Metabolism	INPP4B
Lipid Metabolism	INSIG2
Lipid Metabolism	LIPH
Lipid Metabolism	LIPI
Lipid Metabolism	LIPJ
Lipid Metabolism	LIPK
Lipid Metabolism	LIPM
Lipid Metabolism	LIPN
Lipid Metabolism	PNLIPRP3
Lipid Metabolism	LMF1
Lipid Metabolism	LMF2
Lipid Metabolism	LSR
Lipid Metabolism	LCLAT1
Lipid Metabolism	MBOAT1
Lipid Metabolism	MBOAT2
Lipid Metabolism	LPCAT3
Lipid Metabolism	MBOAT7
Lipid Metabolism	MED13L
Lipid Metabolism	MED10
Lipid Metabolism	MED11
Lipid Metabolism	MED18
Lipid Metabolism	MED19
Lipid Metabolism	MED28
Lipid Metabolism	MED29
Lipid Metabolism	MED9
Lipid Metabolism	MFSD2A
Lipid Metabolism	MOGAT1
Lipid Metabolism	MOGAT2
Lipid Metabolism	MOGAT3
Lipid Metabolism	MTF1
Lipid Metabolism	MTMR4
Lipid Metabolism	MTMR14
Lipid Metabolism	NPC1L1
Lipid Metabolism	SMPD3
Lipid Metabolism	SMPD4
Lipid Metabolism	NUDT19
Lipid Metabolism	NUDT7
Lipid Metabolism	ORMDL1
Lipid Metabolism	ORMDL2
Lipid Metabolism	ORMDL3
Lipid Metabolism	PIK3C2A
Lipid Metabolism	PI4K2A
Lipid Metabolism	PI4K2B
Lipid Metabolism	PLA2G4D
Lipid Metabolism	PLA2G4E
Lipid Metabolism	PLA2G4F
Lipid Metabolism	LPCAT1
Lipid Metabolism	LPCAT2
Lipid Metabolism	PECR
Lipid Metabolism	PTGES2
Lipid Metabolism	PHOSPHO1
Lipid Metabolism	PIK3R5
Lipid Metabolism	PIK3R6
Lipid Metabolism	PIP4K2C
Lipid Metabolism	PIP5K1A
Lipid Metabolism	PIP5K1B
Lipid Metabolism	PIP5K1C
Lipid Metabolism	PITPNM1
Lipid Metabolism	PITPNM2
Lipid Metabolism	PITPNM3
Lipid Metabolism	PLEKHA8
Lipid Metabolism	PLA1A
Lipid Metabolism	PLA2R1
Lipid Metabolism	PLB1
Lipid Metabolism	PLBD1
Lipid Metabolism	AGPAT6
Lipid Metabolism	LPCAT4
Lipid Metabolism	AGPAT9
Lipid Metabolism	PLD3
Lipid Metabolism	PLD4
Lipid Metabolism	PNPLA2
Lipid Metabolism	PNPLA5
Lipid Metabolism	PNPLA6
Lipid Metabolism	PNPLA7
Lipid Metabolism	PNPLA8
Lipid Metabolism	GPAT2
Lipid Metabolism	ACP6
Lipid Metabolism	PPM1L
Lipid Metabolism	PPARGC1B
Lipid Metabolism	PTPLAD1
Lipid Metabolism	PTPLAD2
Lipid Metabolism	PTPMT1
Lipid Metabolism	PEX11A
Lipid Metabolism	SLC27A1
Lipid Metabolism	SLC27A3
Lipid Metabolism	TECRL
Lipid Metabolism	SRD5A3
Lipid Metabolism	SACM1L
Lipid Metabolism	SCD5
Lipid Metabolism	INPP5D
Lipid Metabolism	INPPL1
Lipid Metabolism	SMARCD3
Lipid Metabolism	TNFAIP8
Lipid Metabolism	THEM5
Lipid Metabolism	TMEM86B
Lipid Metabolism	TNFAIP8L1
Lipid Metabolism	TNFAIP8L2
Lipid Metabolism	TPTE2
Lipid Metabolism	FITM1
Lipid Metabolism	VAC14
Lipid Metabolism	WWTR1
Lipid Metabolism	PLD6
Lipid Metabolism	PTGR2
Lipid Metabolism	CHAT
Lipid Metabolism	C10orf129
Lipid Metabolism	AHRR
Lipid Metabolism	FAM120B
Lipid Metabolism	HMGCLL1
Lipid Metabolism	PGS1
Lipid Metabolism	INPP5F
Lipid Metabolism	TNFAIP8L3
Lipid Metabolism	NCOA6
Lipid Metabolism	CYP4A22
Lipid Metabolism	FABP12
Lipid Metabolism	PTPLA
Lipid Metabolism	PTPLB
Lipid Metabolism	HDAC3
Lipid Metabolism	NCOR1
Lipid Metabolism	MED26
Lipid Metabolism	CLTA
Lipid Metabolism	NFYA
Lipid Metabolism	PCSK6
Lipid Metabolism	PPARG
Lipid Metabolism	ABCG1
Lipid Metabolism	HSD17B7
Lipid Metabolism	CLTC
Lipid Metabolism	OCRL
Lipid Metabolism	ACACA
Lipid Metabolism	NR1H3
Lipid Metabolism	NFYC
Lipid Metabolism	MED1
Lipid Metabolism	NCOA1
Lipid Metabolism	MED27
Lipid Metabolism	CYP2U1
Lipid Metabolism	TIAM2
Lipid Metabolism	MED8
Lipid Metabolism	NR1H4
Lipid Metabolism	MED15
Lipid Metabolism	MED23
Lipid Metabolism	MED16
Lipid Metabolism	NCOR2
Lipid Metabolism	NCOA3
Lipid Metabolism	PISD
Lipid Metabolism	NEU4
Lipid Metabolism	AKR1B15
Nucleotide Metabolism	NT5C2
Nucleotide Metabolism	NT5E
Nucleotide Metabolism	ADA
Nucleotide Metabolism	ADK
Nucleotide Metabolism	AGXT2
Nucleotide Metabolism	AMPD1
Nucleotide Metabolism	AMPD2
Nucleotide Metabolism	AMPD3
Nucleotide Metabolism	APRT
Nucleotide Metabolism	UPB1
Nucleotide Metabolism	CAT
Nucleotide Metabolism	CDA
Nucleotide Metabolism	DCK
Nucleotide Metabolism	DCTD
Nucleotide Metabolism	DGUOK
Nucleotide Metabolism	DPYD
Nucleotide Metabolism	DPYS
Nucleotide Metabolism	ENTPD1
Nucleotide Metabolism	ENTPD2
Nucleotide Metabolism	ENTPD3
Nucleotide Metabolism	ENTPD4
Nucleotide Metabolism	ENTPD5
Nucleotide Metabolism	ENTPD6
Nucleotide Metabolism	GLRX
Nucleotide Metabolism	GMPR
Nucleotide Metabolism	GMPR2
Nucleotide Metabolism	GPX1
Nucleotide Metabolism	GMPS
Nucleotide Metabolism	GDA
Nucleotide Metabolism	HPRT1
Nucleotide Metabolism	IMPDH1
Nucleotide Metabolism	IMPDH2
Nucleotide Metabolism	AK1
Nucleotide Metabolism	AK2
Nucleotide Metabolism	AK5
Nucleotide Metabolism	CMPK1
Nucleotide Metabolism	GUK1
Nucleotide Metabolism	TK2
Nucleotide Metabolism	DTYMK
Nucleotide Metabolism	NME1
Nucleotide Metabolism	NME2
Nucleotide Metabolism	NME4
Nucleotide Metabolism	NUDT5
Nucleotide Metabolism	PNP
Nucleotide Metabolism	PPAT
Nucleotide Metabolism	GART
Nucleotide Metabolism	PFAS
Nucleotide Metabolism	PAICS
Nucleotide Metabolism	ADSL
Nucleotide Metabolism	ATIC
Nucleotide Metabolism	ADSS
Nucleotide Metabolism	CAD
Nucleotide Metabolism	UMPS
Nucleotide Metabolism	DHODH
Nucleotide Metabolism	RRM1
Nucleotide Metabolism	RRM2
Nucleotide Metabolism	TXN
Nucleotide Metabolism	TXNRD1
Nucleotide Metabolism	TYMP
Nucleotide Metabolism	TYMS
Nucleotide Metabolism	UCK1
Nucleotide Metabolism	UCK2
Nucleotide Metabolism	UPP1
Nucleotide Metabolism	XDH
Nucleotide Metabolism	TK1
Nucleotide Metabolism	ITPA
Nucleotide Metabolism	AK7
Nucleotide Metabolism	NT5C
Nucleotide Metabolism	NT5M
Nucleotide Metabolism	ADSSL1
Nucleotide Metabolism	UPP2
Nucleotide Metabolism	NT5C1A
Nucleotide Metabolism	NT5C1B
Nucleotide Metabolism	DUT
Nucleotide Metabolism	NUDT13
Nucleotide Metabolism	POMP
Nucleotide Metabolism	NUDT1
Nucleotide Metabolism	ADAL
Nucleotide Metabolism	DDX31
Nucleotide Metabolism	ENTPD7
Nucleotide Metabolism	ENTPD8
Nucleotide Metabolism	GSR
Nucleotide Metabolism	LHPP
Nucleotide Metabolism	NUDT15
Nucleotide Metabolism	NUDT16
Nucleotide Metabolism	CTPS2
Nucleotide Metabolism	RRM2B
Nucleotide Metabolism	DCTPP1
Nucleotide Metabolism	NUDT18
Nucleotide Metabolism	NUDT9
TCA cycle Metabolism	ACO2
TCA cycle Metabolism	NDUFAB1
TCA cycle Metabolism	ATP5G1
TCA cycle Metabolism	ATP5G2
TCA cycle Metabolism	ATP5G3
TCA cycle Metabolism	ATP5A1
TCA cycle Metabolism	ATP5B
TCA cycle Metabolism	ATP5D
TCA cycle Metabolism	ATP5E
TCA cycle Metabolism	ATP5F1
TCA cycle Metabolism	ATP5C1
TCA cycle Metabolism	ATP5I
TCA cycle Metabolism	ATP5J2
TCA cycle Metabolism	ATP5L
TCA cycle Metabolism	ATP5O
TCA cycle Metabolism	ATP5H
TCA cycle Metabolism	ATP5J
TCA cycle Metabolism	ATP5S
TCA cycle Metabolism	BSG
TCA cycle Metabolism	SDHC
TCA cycle Metabolism	NDUFAF1
TCA cycle Metabolism	CS
TCA cycle Metabolism	COX7A2L
TCA cycle Metabolism	COX5A
TCA cycle Metabolism	COX5B
TCA cycle Metabolism	COX6A1
TCA cycle Metabolism	COX6B1
TCA cycle Metabolism	COX6C
TCA cycle Metabolism	COX7B
TCA cycle Metabolism	COX7C
TCA cycle Metabolism	COX8A
